medcodeid,OriginalReadCode,Term
4.66341E+14,TJ1z0,Adverse reaction to ciprofloxacin
4.66441E+14,TJC70,Adverse reaction to clonidine
4.66501E+14,TJ522,Codeine adverse reaction
4.66511E+14,TJE70,Adverse reaction to colchicine
4.66531E+14,TJ22x,Oestrogen and progestogen preparation adverse reaction
4.66911E+14,TJC10,Digoxin adverse reaction
4.66921E+14,TJ524,Adverse reaction to dihydrocodeine tartrate
4.67001E+14,TJC44,Dipyridamole adverse reaction
4.67081E+14,EMISDRGA,Adverse reaction to drug
4.67201E+14,TJC78,Enalapril adverse reaction
4.67551E+14,TJ002,Adverse reaction to flucloxacillin
4.67631E+14,TJ412,Adverse reaction to folic acid
4.67651E+14,TJ0y2,Neomycin adverse reaction
4.67661E+14,TJE41,Adverse reaction to frusemide
4.67721E+14,TJD,Drug groups primarily affecting gastrointestinal system adverse reaction
4.67741E+14,TJ0y0,Adverse reaction to gentamicin
4.67821E+14,TJC40,Adverse reaction to glyceryl trinitrate
4.67861E+14,TJD07,Adverse reaction to H2 blockers
4.67941E+14,TJ50,"Adverse reaction to heroin, diamorphine"
4.67991E+14,TJ2,Adverse reaction to hormones and synthetic substitutes
4.68031E+14,TJC53,Hydralazine adverse reaction
4.68191E+14,TJ23,Adverse reaction to insulins and antidiabetic agents
4.68221E+14,TJ83,Adverse reaction to intravenous anaesthetics
4.68231E+14,TJ281,Adverse reaction to iodine or iodide
4.68251E+14,TJF71,Ipratropium adverse reaction
4.68261E+14,TJ40,Adverse reaction to iron and iron compounds
4.68291E+14,TJ407,Iron sorbitol adverse reaction
4.68361E+14,TJC41,Isosorbide dinitrate adverse reaction
4.68371E+14,TJC42,Adverse reaction to isosorbide mononitrate
4.68471E+14,TJD31,Lactulose adverse reaction
4.68531E+14,TJ851,Adverse reaction to lignocaine hydrochloride
4.68621E+14,TJG0z,Adverse reaction to local anti-infective/inflammatory NOS
4.68661E+14,TJD52,Loperamide adverse reaction
4.68971E+14,TJ123,Adverse reaction to mercury compound
4.69061E+14,TJ802,Methocarbamol adverse reaction
4.69101E+14,TJC71,Adverse reaction to methyldopa
4.69261E+14,TJ520,Adverse reaction to morphine salts
4.69301E+14,TJ1z1,Nalidixic acid adverse reaction
4.69371E+14,TJ000,Adverse reaction to natural penicillins
4.69391E+14,TJ0y4,Adverse reaction to neomycin sulphate
4.69421E+14,TJHy2,Nicotine adverse reaction
4.69451E+14,TJC46,Adverse reaction to nifedipine
4.69481E+14,TJ1z2,Adverse reaction to nitrofuantoin
4.69501E+14,TJ56-1,Adverse reaction to non steroidal anti inflammatory drugs
4.69591E+14,TJA1,Adverse reaction to opiate antagonists
4.69641E+14,TJ5yz,"Adverse reaction to oth analgesic,antipyretic,antirheum NOS"
4.69671E+14,TJ5y,"Adverse reaction to other analgesics,antipyretics,anti-rheum"
4.69811E+14,TJ8,Adverse reaction to other CNS depressants and anaesthetics
4.69841E+14,TJH,Adverse reaction to other drugs and medicines
4.69871E+14,TJDy,Adverse reaction to other gastrointestinal tract drugs
4.70461E+14,TJ527,Adverse reaction to pethidine hydrochloride
4.70531E+14,TJ91,Adverse reaction to phenothiazine-based tranquillisers
4.70631E+14,TJ00D,Piperacillin adverse reaction
4.70771E+14,TJC25,Adverse reaction to pravastatin
4.70781E+14,TJC76,Prazosin adverse reaction
4.70941E+14,TJ7y1,Adverse reaction to promethazine hydrochloride
4.70961E+14,TJC02,Adverse reaction to propranolol
4.71001E+14,TJD08,Proton pump inhibitor adverse reaction
4.71211E+14,TJ13,Adverse reaction to quinolone and hydroxyquinoline derivatives
4.71231E+14,TJC79,Ramipril adverse reaction
4.71361E+14,TJD16,Senna adverse reaction
4.71371E+14,TJC24,Adverse reaction caused by simvastatin
4.71411E+14,TJG,"Adverse reaction to skin,mucous membrane,eye,ENT,dental drug"
4.71571E+14,TJE44,Adverse reaction to spironolactone
4.71851E+14,TJK8,Adverse reaction to tetanus antitoxin
4.71931E+14,TJF73,Adverse reaction to theophylline (asthma)
4.71981E+14,TJE3,Thiazide diuretic adverse reaction
4.72061E+14,TJ271,Thyroxine adverse reaction
4.72261E+14,TJ0yC,Trimethoprim adverse reaction
4.72431E+14,TJC47,Adverse reaction to verapamil
4.72541E+14,TJ421,Warfarin adverse reaction
4.72551E+14,TJE,Adverse reaction to water/mineral/uric acid metabolism drugs
4.72591E+14,TJC81,Adverse reaction to zinc salts
4.74251E+14,U6069,Dopaminergic drug used in parkinsonism adverse reaction
4.81491E+14,SN501,"Anaphylactic shock, due to adverse effect of correct medicinal substance properly administered"
6.31361E+14,TJ,Adverse reaction to substance
6.93261E+14,U6018,[X]Leflunomide adverse reaction
7.23081E+14,U6017,[X]Hydroxychloroquine adverse reaction
8.99961E+14,SN5z-99,Adverse effect NOS
9.02021E+14,TJ-99,Adverse drug reactions
9.02281E+14,TJ53-99,Adverse reaction to aspirin
9.28721E+14,U60CB,Angiotensin II receptor antagonist adverse reaction
9.60721E+14,EMISCDE9,Evidence of side effects/adverse reactions
1.01006E+15,EMISNQAD2,Adverse reactions
1.01013E+15,ALLERGY0,Adverse reaction to EMIS Drug Groups/Constituents and Approved Names
1.01014E+15,ALLERGY1,Adverse reaction to Gastro-Intestinal System Drugs
1.01015E+15,ALLERGY1.1,Adverse reaction to Antacids
1.01023E+15,ALLERGY1.3.1,Adverse reaction to H2-Receptor Blocking Drugs
1.01028E+15,ALLERGY1.3.6,Adverse reaction to Proton Pump Inhibitors
1.01052E+15,ALLERGY10,Adverse reaction to Drugs Used In Musculoskeletal And Joint Diseases
1.01053E+15,ALLERGY10.1,Adverse reaction to Drugs Used In Rheumatic Diseases And Gout
1.01054E+15,ALLERGY10.1.1,Adverse reaction to Non-Steroidal Anti-Inflammatory Drugs
1.01063E+15,ALLERGY10.3,Adverse reaction to Drugs Used In Soft Tissue Inflammation
1.01065E+15,ALLERGY10.3.2,Adverse reaction to Rubefacients And Other Topical Antirheumatics
1.01066E+15,ALLERGY11,Adverse reaction to Drugs Acting On The Eye
1.01068E+15,ALLERGY11.3.1,Adverse reaction to Topical Anti-Infective Eye Preparations
1.01072E+15,ALLERGY11.6,Adverse reaction to Drugs Used For Glaucoma
1.01077E+15,ALLERGY12,"Adverse reaction to Drugs Acting On The Ear ,Nose And Oropharynx"
1.01093E+15,ALLERGY13,Adverse reaction to Drugs Acting On The Skin
1.01121E+15,ALLERGY13.4,Adverse reaction to Topical Corticosteroids
1.01122E+15,ALLERGY13.5,Adverse reaction to Psoriasis And Eczema
1.01131E+15,ALLERGY14.5,Adverse reaction to Immunoglobulins
1.01132E+15,ALLERGY15,Adverse reaction to Anaesthesia
1.01133E+15,ALLERGY15.1,Adverse reaction to General Anaesthetic Drugs
1.01138E+15,ALLERGY15.1.4.1,Adverse reaction to Opioid Analgesics
1.0114E+15,ALLERGY15.1.5,Adverse reaction to Muscle Relaxants In Anaesthesia
1.01144E+15,ALLERGY15.2,Adverse reaction to Local Anaesthetics
1.01145E+15,ALLERGY18,Adverse reaction to Preparations Used In Diagnosis
1.0115E+15,ALLERGY19,Adverse reaction to Other Drugs And Preparations
1.0116E+15,ALLERGY19.4,Adverse reaction to Single Substances
1.01166E+15,ALLERGY2,Adverse reaction to Cardiovascular System Drugs
1.0117E+15,ALLERGY2.12,Adverse reaction to Drugs Used In Hyperlipidaemia
1.01172E+15,ALLERGY2.2,Adverse reaction to Diuretics
1.01173E+15,ALLERGY2.2.1,Adverse reaction to Thiazides And Related Diuretics
1.01174E+15,ALLERGY2.2.2,Adverse reaction to Loop Diuretics
1.01184E+15,ALLERGY2.4,Adverse reaction to Beta-Adrenoceptor Blocking Drugs
1.01186E+15,ALLERGY2.5,Adverse reaction to Antihypertensive Drugs
1.01187E+15,ALLERGY2.5.1,Adverse reaction to Vasodilator Antihypertensive Drugs
1.0119E+15,ALLERGY2.5.4,Adverse reaction to Alpha-Adrenoceptor Blocking Drugs
1.01191E+15,ALLERGY2.5.5,Adverse reaction to Drugs Affecting The Renin-Angiotensin System
1.01192E+15,ALLERGY2.5.5.1,Adverse reaction to Angiotensin-Converting Enzyme Inhibitors
1.01193E+15,ALLERGY2.5.5.2,Adverse reaction to Angiotensin-II Receptor Antagonists
1.01196E+15,ALLERGY2.6,"Adverse reaction to Nitrates, other vasodilators and calcium channel blockers"
1.01197E+15,ALLERGY2.6.1,Adverse reaction to Nitrates
1.01198E+15,ALLERGY2.6.2,Adverse reaction to Calcium Channel Blockers
1.01204E+15,ALLERGY2.8,Adverse reaction to Anticoagulants And Protamine
1.01206E+15,ALLERGY2.8.2,Adverse reaction to Oral Anticoagulants
1.01208E+15,ALLERGY2.9,Adverse reaction to Antiplatelet Drugs
1.01263E+15,ALLERGY3,Adverse reaction to Respiratory System Drugs
1.01264E+15,ALLERGY3.1,Adverse reaction to Bronchodilators
1.01269E+15,ALLERGY3.1.3,Adverse reaction to Theophylline Derivatives
1.01272E+15,ALLERGY3.2,Adverse reaction to Corticosteroids For Inhalation
1.01274E+15,ALLERGY3.4,Adverse reaction to Drugs Used For Allergic Disorders
1.01275E+15,ALLERGY3.4.1,Adverse reaction to Antihistamines
1.01283E+15,ALLERGY3.9.1,Adverse reaction to Cough Suppressants
1.01285E+15,ALLERGY4,Adverse reaction to Central Nervous System Drugs
1.01286E+15,ALLERGY4.1,Adverse reaction to Hypnotics And Anxiolytics
1.01289E+15,ALLERGY4.1.3,Adverse reaction to Barbiturates And Methyprylone
1.0129E+15,ALLERGY4.1.4,Adverse reaction to Benzodiazepines
1.01293E+15,ALLERGY4.2.1,Adverse reaction to Antipsychotic Drugs
1.01295E+15,ALLERGY4.2.3,Adverse reaction to Lithium Salts
1.01296E+15,ALLERGY4.2.4,Adverse reaction to Phenothiazine Derivatives
1.01297E+15,ALLERGY4.3,Adverse reaction to Antidepressant Drugs
1.01298E+15,ALLERGY4.3.1,Adverse reaction to Tricyclic And Related Antidepressant Drugs
1.013E+15,ALLERGY4.3.3,Adverse reaction to Compound Antidepressant Preparations
1.01301E+15,ALLERGY4.3.4,Adverse reaction to Other Antidepressant Drugs
1.01308E+15,ALLERGY4.6,Adverse reaction to Drugs Used In Nausea And Vertigo
1.01309E+15,ALLERGY4.7,Adverse reaction to Analgesics
1.0131E+15,ALLERGY4.7.1,Adverse reaction to Non-Opioid Analgesics
1.01312E+15,ALLERGY4.7.2,Adverse reaction to Opioid Analgesics
1.01315E+15,ALLERGY4.7.4.1,Adverse reaction to Drugs Used In Treatment Of Acute Migraine Attacks
1.01317E+15,ALLERGY4.8,Adverse reaction to Antiepileptics
1.01325E+15,ALLERGY5,Adverse reaction to Drugs Used In The Treatment Of Infections
1.01326E+15,ALLERGY5.1,Adverse reaction to Antibacterial Drugs
1.01327E+15,ALLERGY5.1.1,Adverse reaction to Penicillins
1.01328E+15,ALLERGY5.1.1.1,Adverse reaction to Benzylpenicillin And Phenoxymethylpenicillin
1.01329E+15,ALLERGY5.1.1.2,Adverse reaction to Penicillinase-Resistant Penicillins
1.0133E+15,ALLERGY5.1.1.3,Adverse reaction to Broad-Spectrum Penicillins
1.01331E+15,ALLERGY5.1.1.4,Adverse reaction to Antipseudomonal Penicillins
1.01334E+15,ALLERGY5.1.11,Adverse reaction to Metronidazole And Tinidazole
1.01335E+15,ALLERGY5.1.12,Adverse reaction to 4-quinolones
1.01336E+15,ALLERGY5.1.13,Adverse reaction to Urinary-Tract Infections
1.01337E+15,ALLERGY5.1.2,"Adverse reaction to Cephalosporins, Cephamycins And Other Beta-Lactam Antibiotics"
1.01338E+15,ALLERGY5.1.2.1,Adverse reaction to Cephalosporins And Cephamycins
1.01339E+15,ALLERGY5.1.2.2,Adverse reaction to Other Beta-Lactam Antibiotics
1.0134E+15,ALLERGY5.1.3,Adverse reaction to Tetracyclines
1.01341E+15,ALLERGY5.1.4,Adverse reaction to Aminoglycosides
1.01342E+15,ALLERGY5.1.5,Adverse reaction to Erythromycins
1.01343E+15,ALLERGY5.1.6,Adverse reaction to Clindamycin And Lincomycin
1.01344E+15,ALLERGY5.1.7,Adverse reaction to Some Other Antibiotics
1.01345E+15,ALLERGY5.1.8,Adverse reaction to Sulphonamides Or Trimethoprim
1.01347E+15,ALLERGY5.2,Adverse reaction to Antifungal Drugs
1.0135E+15,ALLERGY5.4.1,Adverse reaction to Antimalarials
1.01365E+15,ALLERGY6,Adverse reaction to Drugs Used In Disorders Of The Endocrine System
1.01366E+15,ALLERGY6.1,Adverse reaction to Drugs Used In Diabetes
1.01369E+15,ALLERGY6.1.1.2,Adverse reaction to Intermediate And Long Acting Insulin Preparations
1.01371E+15,ALLERGY6.1.2.1,Adverse reaction to Sulphonylureas And Related Drugs
1.01372E+15,ALLERGY6.1.2.2,Adverse reaction to Biguanides
1.01379E+15,ALLERGY6.3,Adverse reaction to Corticosteroids - Systemic
1.01384E+15,ALLERGY6.4.1.1,Adverse reaction to Oestrogens
1.01389E+15,ALLERGY6.4.3,Adverse reaction to Anabolic Steroids
1.01396E+15,ALLERGY6.6.2,Adverse reaction to Disodium Etidronate Preparations
1.01402E+15,ALLERGY7,"Adverse reaction to Drugs For Obstetric,Gynaecology, And Urinary Tract Disorders"
1.01409E+15,ALLERGY7.3,Adverse reaction to Contraceptives
1.0141E+15,ALLERGY7.3.1,Adverse reaction to Combined Oral Contraceptives
1.01411E+15,ALLERGY7.3.2,Adverse reaction to Progestogen-Only Contraceptives
1.01413E+15,ALLERGY7.4,Adverse reaction to Drugs Used In Urinary Tract Disorders
1.01439E+15,ALLERGY9.1.1.1,Adverse reaction to Oral Iron Therapy
1.01444E+15,ALLERGY9.1.5,Adverse reaction to Prescribing In G6Pd Deficiency
1.01457E+15,ALLERGY9.5.1.1,Adverse reaction to Calcium Supplements
1.01475E+15,ALLERGY1800,Adverse reaction to Adalat
1.01476E+15,ALLERGY1801,Adverse reaction to Adalat Retard
1.01486E+15,ALLERGY181,Adverse reaction to Azathioprine
1.01515E+15,ALLERGY18220NEMIS,Adverse reaction to Levemir Flexpen
1.01517E+15,ALLERGY18225NEMIS,Adverse reaction to Aripiprazole
1.01533E+15,ALLERGY1828,Adverse reaction to Aldomet
1.01541E+15,ALLERGY183,Adverse reaction to Aztreonam
1.01548E+15,ALLERGY1833,Adverse reaction to Algesal
1.0157E+15,ALLERGY18411NEMIS,Adverse reaction to Zerobase
1.01576E+15,ALLERGY18427NEMIS,Adverse reaction to Pregabalin
1.01578E+15,ALLERGY18436NEMIS,Adverse reaction to Lyrica
1.01581E+15,ALLERGY18446NEMIS,Adverse reaction to Cardioplen Xl
1.01589E+15,ALLERGY1848,Adverse reaction to Alphosyl
1.01597E+15,ALLERGY18499NEMIS,Adverse reaction to Tcp
1.01604E+15,ALLERGY18515NEMIS,Adverse reaction to Lopace
1.01612E+15,ALLERGY18532NEMIS,Adverse reaction to Dipyridamole And Aspirin
1.01613E+15,ALLERGY18534NEMIS,Adverse reaction to Lisinopril And Hydrochlorothiazide
1.01614E+15,ALLERGY18537NEMIS,Adverse reaction to Bendroflumethiazide And M/r Potassium
1.01615E+15,ALLERGY18539NEMIS,Adverse reaction to Irbesartan And Hydrochlorothiazide
1.0162E+15,ALLERGY18547NEMIS,Adverse reaction to Perindopril And Indapamide
1.01621E+15,ALLERGY18549NEMIS,Adverse reaction to Losartan And Hydrochlorothiazide
1.01626E+15,ALLERGY18558NEMIS,Adverse reaction to Enalapril And Hydrochlorothiazide
1.01636E+15,ALLERGY18575NEMIS,Adverse reaction to Ramipril And M/r Felodipine
1.0164E+15,ALLERGY18582NEMIS,Adverse reaction to Fluticasone Propionate And Salmeterol
1.01641E+15,ALLERGY18589NEMIS,Adverse reaction to Budesonide And Formoterol
1.01644E+15,ALLERGY1860,Adverse reaction to Alupent
1.01662E+15,ALLERGY187,Adverse reaction to Baclofen
1.01663E+15,ALLERGY1870,Adverse reaction to Amoxidin
1.01664E+15,ALLERGY1871,Adverse reaction to Amoxil
1.01668E+15,ALLERGY18735NEMIS,Adverse reaction to Duloxetine
1.01669E+15,ALLERGY18739NEMIS,Adverse reaction to Yentreve
1.01672E+15,ALLERGY18744NEMIS,Adverse reaction to Solifenacin
1.01673E+15,ALLERGY18748NEMIS,Adverse reaction to Vesicare
1.01677E+15,ALLERGY18758NEMIS,Adverse reaction to Repevax
1.0168E+15,ALLERGY18765NEMIS,Adverse reaction to Revaxis
1.01689E+15,ALLERGY18782NEMIS,Adverse reaction to Paracetamol And Dihydrocodeine
1.0169E+15,ALLERGY18785NEMIS,Adverse reaction to Tramadol And Paracetamol
1.01692E+15,ALLERGY1879,Adverse reaction to Anafranil
1.017E+15,ALLERGY18804NEMIS,Adverse reaction to Softpore
1.01721E+15,ALLERGY1889,Adverse reaction to Anhydrol Forte
1.01722E+15,ALLERGY18890NEMIS,Adverse reaction to Amlostin
1.01724E+15,ALLERGY189,Adverse reaction to Beclomethasone Dipropionate
1.01759E+15,ALLERGY1898,Adverse reaction to Anthisan
1.01767E+15,ALLERGY1899NEMIS,Adverse reaction to Infliximab
1.01771E+15,ALLERGY5003EMIS,Adverse reaction to Diclomax Retard
1.01773E+15,ALLERGY5004EMIS,Adverse reaction to Evorel
1.01777E+15,ALLERGY5008EMIS,Adverse reaction to Mivacurium Chloride
1.01783E+15,ALLERGY5013EMIS,Adverse reaction to Arthrotec 50
1.01785E+15,ALLERGY5015EMIS,Adverse reaction to Capsaicin
1.0179E+15,ALLERGY5020EMIS,Adverse reaction to Elocon
1.01791E+15,ALLERGY5021EMIS,Adverse reaction to Mometasone Furoate
1.01804E+15,ALLERGY5032EMIS,Adverse reaction to Tazocin
1.01809E+15,ALLERGY5039EMIS,Adverse reaction to Distaclor Mr
1.0181E+15,ALLERGY504,Adverse reaction to Cyanocobalamin
1.01819E+15,ALLERGY5049EMIS,Adverse reaction to Flixotide
1.01822E+15,ALLERGY5052EMIS,Adverse reaction to Aveeno
1.0183E+15,ALLERGY506,Adverse reaction to Cyclizine
1.01845E+15,ALLERGY5081EMIS,Adverse reaction to Remedeine
1.01848E+15,ALLERGY5084EMIS,Adverse reaction to Disprin Cv
1.01854E+15,ALLERGY5090EMIS,Adverse reaction to Fortisip
1.01857E+15,ALLERGY5094EMIS,Adverse reaction to Fragmin
1.01858E+15,ALLERGY5095EMIS,Adverse reaction to Dalteparin Sodium
1.01861E+15,ALLERGY5098EMIS,Adverse reaction to Servier Adsorbed Tetanus
1.01874E+15,ALLERGY5110EMIS,Adverse reaction to Dilzem Sr 60
1.01886E+15,ALLERGY5120EMIS,Adverse reaction to Calcium And Ergocalciferol
1.01889E+15,ALLERGY5123NEMIS,Adverse reaction to Esomeprazole
1.01893E+15,ALLERGY5127NEMIS,Adverse reaction to Nexium
1.01896E+15,ALLERGY513,Adverse reaction to Cyclopentolate Hydrochloride
1.01925E+15,ALLERGY516,Adverse reaction to Cyclosporin
1.01936E+15,ALLERGY5170NEMIS,Adverse reaction to Nocutil
1.01943E+15,ALLERGY5178EMIS,Adverse reaction to Motens
1.01944E+15,ALLERGY5179EMIS,Adverse reaction to Lacidipine
1.01945E+15,ALLERGY518,Adverse reaction to Cyproterone Acetate
1.01951E+15,ALLERGY5184EMIS,Adverse reaction to Valproic Acid
1.01955E+15,ALLERGY5187EMIS,Adverse reaction to Moclobemide
1.01963E+15,ALLERGY5195NEMIS,Adverse reaction to Strepsils
1.01964E+15,ALLERGY5196EMIS,Adverse reaction to Augmentin 375 Mg
1.01965E+15,ALLERGY5197EMIS,Adverse reaction to Augmentin 625 Mg
1.01966E+15,ALLERGY5198EMIS,Adverse reaction to Co-Amoxiclav 250/125
1.01967E+15,ALLERGY5199EMIS,Adverse reaction to Co-Amoxiclav 500/125
1.0197E+15,ALLERGY5201EMIS,Adverse reaction to Fybogel Mebeverine
1.01984E+15,ALLERGY5212EMIS,Adverse reaction to Ceftriaxone
1.01993E+15,ALLERGY5219EMIS,Adverse reaction to Gabapentin
1.0201E+15,ALLERGY5235EMIS,Adverse reaction to Acarbose
1.02013E+15,ALLERGY5237EMIS,Adverse reaction to Trandolapril
1.02015E+15,ALLERGY5239EMIS,Adverse reaction to Iopidine
1.02017E+15,ALLERGY524,Adverse reaction to Dantrolene Sodium
1.02019E+15,ALLERGY5241EMIS,Adverse reaction to Risperdal
1.02021E+15,ALLERGY5242EMIS,Adverse reaction to Risperidone
1.02022E+15,ALLERGY5243EMIS,Adverse reaction to Kapake
1.02024E+15,ALLERGY5245EMIS,Adverse reaction to Dalacin
1.02029E+15,ALLERGY5250EMIS,Adverse reaction to Calpol Six Plus
1.0204E+15,ALLERGY526,Adverse reaction to Dapsone
1.02066E+15,ALLERGY1005EMIS,Adverse reaction to Ferrous Sulfate Compound
1.02077E+15,ALLERGY1009,Adverse reaction to Mebendazole
1.02082E+15,ALLERGY1010,Adverse reaction to Mebeverine Hydrochloride
1.021E+15,ALLERGY1015EMIS,Adverse reaction to Tetracycline (Mouth Bath)
1.02108E+15,ALLERGY1019,Adverse reaction to Mefenamic Acid
1.02119E+15,ALLERGY1022NEMIS,Adverse reaction to Diclofenac Potassium
1.02122E+15,ALLERGY1023NEMIS,Adverse reaction to Voltarol Rapid
1.02141E+15,ALLERGY1031,Adverse reaction to Meptazinol
1.02148E+15,ALLERGY1034,Adverse reaction to Mercaptopurine
1.0215E+15,ALLERGY1034NEMIS,Adverse reaction to Implanon
1.02155E+15,ALLERGY1037,Adverse reaction to Mesalazine
1.02163E+15,ALLERGY1040NEMIS,Adverse reaction to Telmisartan
1.02168E+15,ALLERGY1042,Adverse reaction to Metformin Hydrochloride
1.02178E+15,ALLERGY1046,Adverse reaction to Methocarbamol
1.02186E+15,ALLERGY1049,Adverse reaction to Methotrexate
1.0221E+15,ALLERGY106,Adverse reaction to Aluminium Chloride
1.02213E+15,ALLERGY1061,Adverse reaction to Methyldopa
1.02222E+15,ALLERGY1065,Adverse reaction to Methylprednisolone
1.02241E+15,ALLERGY1073,Adverse reaction to Metoclopramide Hydrochloride
1.02244E+15,ALLERGY1074,Adverse reaction to Metolazone
1.02246E+15,ALLERGY1075,Adverse reaction to Metoprolol Tartrate
1.02248E+15,ALLERGY1076,Adverse reaction to Metronidazole
1.02256E+15,ALLERGY10795NEMIS,Adverse reaction to Solaraze
1.02257E+15,ALLERGY10797NEMIS,Adverse reaction to Sibutramine Hydrochloride Monohydrate
1.02259E+15,ALLERGY10801NEMIS,Adverse reaction to Reductil
1.02261E+15,ALLERGY1081,Adverse reaction to Mianserin Hydrochloride
1.02264E+15,ALLERGY1082,Adverse reaction to Miconazole
1.02266E+15,ALLERGY1083,Adverse reaction to Miconazole Nitrate
1.02271E+15,ALLERGY10846NEMIS,Adverse reaction to Symbicort
1.02275E+15,ALLERGY1086,Adverse reaction to Midazolam
1.02277E+15,ALLERGY10864NEMIS,Adverse reaction to Zoledronic Acid
1.02291E+15,ALLERGY11058NEMIS,Adverse reaction to Cosmofer
1.02297E+15,ALLERGY1108,Adverse reaction to Nabumetone
1.02298E+15,ALLERGY11080NEMIS,Adverse reaction to Oxactin
1.02302E+15,ALLERGY1109,Adverse reaction to Nadolol
1.02305E+15,ALLERGY11096NEMIS,Adverse reaction to Glucosamine
1.02306E+15,ALLERGY1110,Adverse reaction to Naftidrofuryl Oxalate
1.02313E+15,ALLERGY1112,Adverse reaction to Nalidixic Acid
1.02325E+15,ALLERGY1117,Adverse reaction to Naproxen
1.02329E+15,ALLERGY1118,Adverse reaction to Naproxen Sodium
1.02338E+15,ALLERGY1123,Adverse reaction to Nedocromil Sodium
1.0234E+15,ALLERGY1124,Adverse reaction to Nefopam Hydrochloride
1.02343E+15,ALLERGY1125,Adverse reaction to Neomycin
1.02354E+15,ALLERGY1128,Adverse reaction to Neomycin Sulfate
1.02376E+15,ALLERGY11332NEMIS,Adverse reaction to Feldene P
1.02385E+15,ALLERGY11373NEMIS,Adverse reaction to Robitussin Chesty Cough
1.02387E+15,ALLERGY1138,Adverse reaction to Nicardipine Hydrochloride
1.02397E+15,ALLERGY1142,Adverse reaction to Nicotine
1.02401E+15,ALLERGY1143,Adverse reaction to Nicotinic Acid
1.02413E+15,ALLERGY1146,Adverse reaction to Nifedipine
1.02419E+15,ALLERGY1150,Adverse reaction to Nitrazepam
1.02421E+15,ALLERGY1151,Adverse reaction to Nitrofurantoin
1.02422E+15,ALLERGY1152,Adverse reaction to Nitrofurazone
1.02424E+15,ALLERGY1153,Adverse reaction to Nizatidine
1.02453E+15,ALLERGY1165,Adverse reaction to Norethisterone
1.02463E+15,ALLERGY11678NEMIS,Adverse reaction to Detrusitol Xl
1.02465E+15,ALLERGY11686NEMIS,Adverse reaction to Levocetirizine
1.02467E+15,ALLERGY1169,Adverse reaction to Nortriptyline
1.02472E+15,ALLERGY11704NEMIS,Adverse reaction to Codeine
1.02479E+15,ALLERGY1173,Adverse reaction to Nystatin
1.02484E+15,ALLERGY1177,Adverse reaction to Oestradiol
1.02493E+15,ALLERGY118,Adverse reaction to Alverine Citrate
1.02497E+15,ALLERGY11812NEMIS,Adverse reaction to St John's Wort
1.02499E+15,ALLERGY11819NEMIS,Adverse reaction to Xalacom
1.02508E+15,ALLERGY1187,Adverse reaction to Olive
1.02515E+15,ALLERGY119,Adverse reaction to Amantadine Hydrochloride
1.02517E+15,ALLERGY1191,Adverse reaction to Orciprenaline Sulfate
1.02553E+15,ALLERGY1089,Adverse reaction to Minocycline
1.0256E+15,ALLERGY1090,Adverse reaction to Minoxidil
1.02591E+15,ALLERGY1097,Adverse reaction to Morphine
1.02596E+15,ALLERGY1098,Adverse reaction to Morphine Hydrochloride
1.02599E+15,ALLERGY1099,Adverse reaction to Morphine Sulfate
1.02619E+15,ALLERGY1208,Adverse reaction to Oxyphenbutazone
1.02624E+15,ALLERGY1210,Adverse reaction to Oxytetracycline
1.02625E+15,ALLERGY1211,Adverse reaction to Oxytetracycline Dihydrate
1.02628E+15,ALLERGY1212,Adverse reaction to Oxytetracycline Hydrochloride
1.0263E+15,ALLERGY12136NEMIS,Adverse reaction to Travoprost
1.02631E+15,ALLERGY12139NEMIS,Adverse reaction to Travatan
1.02639E+15,ALLERGY1218,Adverse reaction to Papaveretum
1.02642E+15,ALLERGY122,Adverse reaction to Amethocaine
1.02643E+15,ALLERGY1220,Adverse reaction to Paracetamol
1.02658E+15,ALLERGY1232,Adverse reaction to Penicillamine
1.02666E+15,ALLERGY1235EMFIX,Adverse reaction to Meropenem
1.02696E+15,ALLERGY1249,Adverse reaction to Pethidine Hydrochloride
1.02705E+15,ALLERGY12510NEMIS,Adverse reaction to Cetraben Emollient
1.02726E+15,ALLERGY1259,Adverse reaction to Phenobarbitone
1.02731E+15,ALLERGY126,Adverse reaction to Amiloride Hydrochloride
1.02734E+15,ALLERGY1261,Adverse reaction to Phenol
1.02747E+15,ALLERGY12671NEMIS,Adverse reaction to Concerta Xl
1.0275E+15,ALLERGY1268,Adverse reaction to Phenoxymethylpenicillin
1.02761E+15,ALLERGY1271,Adverse reaction to Phenylbutazone
1.0277E+15,ALLERGY12732NEMIS,Adverse reaction to Bimatoprost
1.02771E+15,ALLERGY12735NEMIS,Adverse reaction to Lumigan
1.02779E+15,ALLERGY12770NEMIS,Adverse reaction to Niquitin Clear
1.02787E+15,ALLERGY1279,Adverse reaction to Phenytoin Sodium
1.02793E+15,ALLERGY1280,Adverse reaction to Pholcodine
1.02794E+15,ALLERGY12803NEMIS,Adverse reaction to Arcoxia
1.02795E+15,ALLERGY12808NEMIS,Adverse reaction to Etoricoxib
1.02796E+15,ALLERGY12812NEMIS,Adverse reaction to Yasmin
1.02814E+15,ALLERGY1286,Adverse reaction to Pilocarpine
1.02824E+15,ALLERGY12894NEMIS,Adverse reaction to Protopic
1.02825E+15,ALLERGY12899NEMIS,Adverse reaction to Dovobet
